Question,Answer
What is the checklist for evacuation?,"The checklist for evacuation includes ensuring official advice has been given to evacuate, knowing your evacuation point, confirming the evacuation point is secure, knowing the preferred evacuation route, having a vehicle full of fuel, packing your Emergency Plan, packing your Emergency Kit, packing your Evacuation Kit, having essential medications for your family, packing important documents and valuables, turning off all the power, gas, and water mains to your home, ensuring your pets are safe and secure, securing and locking your home, packing emergency water supplies, checking on elderly or disabled neighbors, and identifying options for evacuation if you are visiting or on holiday in Queensland or interstate without family or friends to shelter with."
Why is it important to secure and lock your home before evacuating?,Securing and locking your home is important to protect it and its contents while you are away during an evacuation.
What should you do if you are visiting or on holiday in Queensland or interstate and do not have family or friends to shelter with?,"If you are visiting or on holiday in Queensland or interstate and do not have family or friends to shelter with, contact your accommodations manager to identify options for evacuation."
Why should you have an Evacuation Kit prepared?,Having an Evacuation Kit prepared is important because it ensures you have essential items and supplies readily available when you need to evacuate.
What essential items should you include in your Evacuation Kit?,"Your Evacuation Kit should include items such as non-perishable food, water, a first-aid kit, essential medications, important documents, a flashlight, batteries, a multi-tool, clothing, and personal hygiene items."
How can you ensure that everyone in your household knows about your evacuation plan?,"Ensure everyone in your household knows about your evacuation plan by discussing it regularly, practicing evacuation drills, and having a copy of the plan accessible to all."
What should you consider regarding children and the elderly in your household during an evacuation?,"Consider the specific needs of children and the elderly in your household, including necessary supplies, medications, and arrangements for their comfort and safety during an evacuation."
What's the importance of knowing the locations of evacuation centers in your community?,Knowing the locations of evacuation centers is crucial for planning your evacuation and ensuring that you have a safe destination to go to.
How can you get information about evacuation centers in your area?,"You can get information about evacuation centers from local authorities, emergency management agencies, or by checking with your local council."
What is the purpose of having a designated meeting place for your household during an evacuation?,Having a designated meeting place ensures that all members of your household know where to gather in case of separation during an evacuation.
Why is it important to have a communication plan for your household during an evacuation?,Having a communication plan ensures that all household members know how to contact each other and where to meet during an evacuation.
How can you teach your household members about the Standard Emergency Warning Signal (SEWS)?,You can teach your household members about SEWS by providing information and discussing its significance in emergency situations.
What steps should you take to prepare your pets for evacuation?,"To prepare your pets for evacuation, ensure that you have carriers or crates, food, water, medications, and identification for your pets ready to go."
What should you do if official advice is given to evacuate?,"If official advice is given to evacuate, follow the advice and execute your evacuation plan immediately."
Why is it essential to know your evacuation point and the preferred evacuation route?,Knowing your evacuation point and preferred route is critical for a smooth and safe evacuation.
Why should you ensure that your vehicle is full of fuel before an evacuation?,Ensuring that your vehicle has a full tank of fuel is important because it allows you to travel a longer distance without the need for refueling during the evacuation.
What is the purpose of packing your Emergency Plan during an evacuation?,Packing your Emergency Plan ensures that you have all essential information and contacts readily available in case you need to refer to it during an evacuation.
Why should you pack your Emergency Kit when evacuating?,"Packing your Emergency Kit is essential as it contains necessary supplies, such as food, water, first-aid items, and tools, to support your household during an evacuation."
What is the importance of having an Evacuation Kit during the evacuation process?,Having an Evacuation Kit is important because it provides you with essential items and supplies to sustain your household during the evacuation.
What should you ensure regarding essential medications for your family during an evacuation?,Ensure that you have essential medications for your family readily available in your Evacuation Kit to address any medical needs during the evacuation.
Why is it important to include important documents and valuables in your evacuation preparations?,Including important documents and valuables in your evacuation preparations ensures that you have access to critical information and assets in case of an emergency.
"What precautions should you take when turning off the power, gas, and water mains to your home before evacuating?","When turning off the power, gas, and water mains to your home, ensure that it is done safely to prevent hazards while you are away."
How can you ensure the safety of your pets during an evacuation?,"To ensure the safety of your pets during an evacuation, make sure they are secure in carriers or crates and have sufficient food, water, and identification."
Why should you secure and lock your home before leaving for an evacuation?,Securing and locking your home before leaving for an evacuation is important to protect your property and belongings from theft or damage.
What should you do if you are visiting or on holiday in Queensland or interstate and do not have family or friends to shelter with during an emergency?,"If you are visiting or on holiday in Queensland or interstate and do not have family or friends to shelter with, contact your accommodations manager to explore options for evacuation."
What is the purpose of having an Emergency Kit?,"Having an Emergency Kit is crucial to prepare for, survive, and cope with emergencies."
Why do all household members need to know where the Emergency Kit is kept?,All household members need to know where the Emergency Kit is kept for easy access and use during emergencies.
Why is it important to check and update the contents of your Emergency Kit regularly?,"Checking and updating the contents of your Emergency Kit regularly ensures that everything is in working order and has not expired, maintaining its effectiveness."
What should you discuss with all household members regarding the Emergency Kit?,Discuss the contents and use of the Emergency Kit with all household members to ensure everyone knows what to do in an emergency.
What items should be kept in your Emergency Kit at all times for food and water?,Your Emergency Kit at all times should include a range of non-perishable food items and bottled water.
What medical and sanitation items should be part of your Emergency Kit?,"Your Emergency Kit should include a First Aid Kit and manual, essential medications, prescriptions, dosage information, toilet paper, toothbrush, toothpaste, soap, shampoo, and personal hygiene items."
What kind of light sources should you have in your Emergency Kit?,Include a flashlight or torch with extra batteries and a battery-powered lantern in your Emergency Kit for lighting.
What communication items are necessary in your Emergency Kit?,Your Emergency Kit should have a battery-powered radio with extra batteries and prepaid phone cards and coins for phone calls.
What clothing and footwear items should be included in your Emergency Kit?,"Your Emergency Kit should contain warm jumpers, waterproof jackets, hats, and gloves for everyone, as well as closed-toed shoes or boots for everyone."
What tools and supplies are recommended for your Emergency Kit?,"Include a whistle, utility knife, duct or masking tape, plastic garbage bags with ties, safety glasses, and sunglasses in your Emergency Kit."
What miscellaneous items should you have for infants in your Emergency Kit?,Include special items for infants such as nappies and formula in your Emergency Kit.
What should you keep in your Emergency Kit for elderly or people with special needs?,Ensure you have any special items needed by elderly individuals or those with special needs in your Emergency Kit.
What are the essential spare items for your house and car to include in your Emergency Kit?,Add spare house and car keys to your Emergency Kit.
What should be included in your Emergency Kit for pets and animals?,"Include pet food, water, and other animal needs in your Emergency Kit."
Why is it recommended to have a diabetes emergency plan in your Emergency Kit?,Including a diabetes emergency plan in your Emergency Kit is crucial if someone in your household has diabetes.
What important documents should be part of your Emergency Kit?,Include original or certified copies of important documents in your Emergency Kit. These documents should be kept in sealed plastic bags.
Why should you scan copies of important documents and save them on a USB memory stick or CD?,Scanning copies of important documents and saving them on a USB memory stick or CD ensures that you have electronic backups available in your Emergency Kit.
What insurance papers should you have in your Emergency Kit?,"Include insurance papers for your house and contents, cars, and valuable items in your Emergency Kit."
What inventory of valuable household goods should be part of your Emergency Kit?,Maintain an inventory of valuable household goods in your Emergency Kit.
What documents related to wills and life insurance should you include in your Emergency Kit?,Store wills and life insurance documents in your Emergency Kit.
What house-related documents are important for your Emergency Kit?,Include house deeds and mortgage documents in your Emergency Kit.
What personal identification and certification documents are essential for your Emergency Kit?,"Store birth and marriage certificates, passports and visa details, stocks and bonds in your Emergency Kit."
What medical and health records should be part of your Emergency Kit?,"Include Medicare cards, pension cards, immunization records, and any other relevant medical records in your Emergency Kit."
Why should you have bank account and credit card details in your Emergency Kit?,Including bank account and credit card details in your Emergency Kit is essential for financial access during an emergency.
What computer-related item should have a backup copy in your Emergency Kit?,Create a backup copy of important computer files and store them in your Emergency Kit.
What should be included in your Household Emergency Plan with emergency contact numbers?,Your Household Emergency Plan should contain emergency contact numbers for various agencies and individuals.
What is the purpose of having an Emergency Kit?,"Having an Emergency Kit is crucial to prepare for, survive, and cope with emergencies."
Why do all household members need to know where the Emergency Kit is kept?,All household members need to know where the Emergency Kit is kept for easy access and use during emergencies.
Why is it important to check and update the contents of your Emergency Kit regularly?,"Checking and updating the contents of your Emergency Kit regularly ensures that everything is in working order and has not expired, maintaining its effectiveness."
What should you discuss with all household members regarding the Emergency Kit?,Discuss the contents and use of the Emergency Kit with all household members to ensure everyone knows what to do in an emergency.
What items should be kept in your Emergency Kit at all times for food and water?,Your Emergency Kit at all times should include a range of non-perishable food items and bottled water.
What medical and sanitation items should be part of your Emergency Kit?,"Your Emergency Kit should include a First Aid Kit and manual, essential medications, prescriptions, dosage information, toilet paper, toothbrush, toothpaste, soap, shampoo, and personal hygiene items."
What kind of light sources should you have in your Emergency Kit?,Include a flashlight or torch with extra batteries and a battery-powered lantern in your Emergency Kit for lighting.
What communication items are necessary in your Emergency Kit?,Your Emergency Kit should have a battery-powered radio with extra batteries and prepaid phone cards and coins for phone calls.
What clothing and footwear items should be included in your Emergency Kit?,"Your Emergency Kit should contain warm jumpers, waterproof jackets, hats, and gloves for everyone, as well as closed-toed shoes or boots for everyone."
What tools and supplies are recommended for your Emergency Kit?,"Include a whistle, utility knife, duct or masking tape, plastic garbage bags with ties, safety glasses, and sunglasses in your Emergency Kit."
What miscellaneous items should you have for infants in your Emergency Kit?,Include special items for infants such as nappies and formula in your Emergency Kit.
What should you keep in your Emergency Kit for elderly or people with special needs?,Ensure you have any special items needed by elderly individuals or those with special needs in your Emergency Kit.
What are the essential spare items for your house and car to include in your Emergency Kit?,Add spare house and car keys to your Emergency Kit.
What should be included in your Emergency Kit for pets and animals?,"Include pet food, water, and other animal needs in your Emergency Kit."
Why is it recommended to have a diabetes emergency plan in your Emergency Kit?,Including a diabetes emergency plan in your Emergency Kit is crucial if someone in your household has diabetes.
What important documents should be part of your Emergency Kit?,Include original or certified copies of important documents in your Emergency Kit. These documents should be kept in sealed plastic bags.
Why should you scan copies of important documents and save them on a USB memory stick or CD?,Scanning copies of important documents and saving them on a USB memory stick or CD ensures that you have electronic backups available in your Emergency Kit.
What insurance papers should you have in your Emergency Kit?,"Include insurance papers for your house and contents, cars, and valuable items in your Emergency Kit."
What inventory of valuable household goods should be part of your Emergency Kit?,Maintain an inventory of valuable household goods in your Emergency Kit.
What documents related to wills and life insurance should you include in your Emergency Kit?,Store wills and life insurance documents in your Emergency Kit.
What house-related documents are important for your Emergency Kit?,Include house deeds and mortgage documents in your Emergency Kit.
What personal identification and certification documents are essential for your Emergency Kit?,"Store birth and marriage certificates, passports and visa details, stocks and bonds in your Emergency Kit."
What medical and health records should be part of your Emergency Kit?,"Include Medicare cards, pension cards, immunization records, and any other relevant medical records in your Emergency Kit."
Why should you have bank account and credit card details in your Emergency Kit?,Including bank account and credit card details in your Emergency Kit is essential for financial access during an emergency.
What computer-related item should have a backup copy in your Emergency Kit?,Create a backup copy of important computer files and store them in your Emergency Kit.
What should be included in your Household Emergency Plan with emergency contact numbers?,Your Household Emergency Plan should contain emergency contact numbers for various agencies and individuals.
Why are warnings from Emergency Services important for community safety?,Warnings from Emergency Services are important for community safety during severe weather and emergencies.
What actions may you be directed to take when warnings are issued?,"When warnings are issued, you may be directed to finalize preparations, secure items around your home, activate your Emergency Plan, shelter in place, or commence evacuation to a predetermined safer location."
Why is it important to act immediately on the information provided in warnings?,It's crucial to act immediately on the information provided in warnings because they are urgent and require prompt action.
How can you tune in to get weather and warning updates?,Tune your battery-powered radio to your local station for weather and warning updates. Turn your television to your local station to watch and listen for warning updates.
Where can you find weather updates and warning information online?,"You can find weather updates and warning information on the Bureau of Meteorology website for weather updates and Queensland Disaster Management Services website for information on preparing, Emergency Alerts, and current information on disaster events."
"What is the Standard Emergency Warning Signal (SEWS), and why should you listen out for it?",SEWS is a wailing siren sound used for serious emergency events. You should listen out for it because it precedes important warning information.
How can you receive emergency alerts via landline and mobile phones?,Emergency Alert can send voice alerts via landline telephones based on location and test alerts to mobile phones based on billing address. You cannot opt out of receiving emergency alerts.
What should you do when you receive an Emergency Alert?,"When you receive an Emergency Alert, listen carefully to the advice provided and act immediately, following the directions given."
Why should you check on neighbors and friends who may need special assistance when warnings are issued?,Checking on neighbors and friends who may need special assistance is important to ensure their safety and well-being during emergencies.
When should you activate your Household Emergency Plan?,You should activate your Household Emergency Plan when directed by warnings or when you believe it's necessary to ensure safety.
What should you locate and collect when you receive a warning?,"When you receive a warning, locate and collect your Emergency Kit to ensure you have necessary supplies and essentials."
What is the purpose of the Standard Emergency Warning Signal (SEWS)?,SEWS is used as a signal to alert the public to major emergencies and to signify the importance of the information that follows.
Why is it essential to act immediately when SEWS is heard?,"Acting immediately when SEWS is heard is essential because it indicates a major emergency, and swift action may be necessary to protect lives and property."
Where can you find more information on various weather warnings in Queensland?,"You can find more information on weather warnings in Queensland by contacting Queensland Tropical Cyclone Warnings, Queensland Land Weather and Flood Warnings, Queensland Coastal Marine Warnings, or Queensland General Warnings."
Why is getting to know your neighbors important in preparing your household for emergencies?,"Getting to know your neighbors is important because neighbors can help each other in various ways during emergencies, and building a community network is crucial."
Who are considered 'neighbors' in this context?,"Neighbors can include people in your street or community, and they are individuals living in proximity to your residence."
What's the benefit of getting to know your neighbors' needs before an emergency situation occurs?,"Getting to know your neighbors' needs in advance allows you to identify those who may require assistance during emergencies, and you can plan to provide that help."
What are some examples of people who may need assistance during emergencies?,"Examples of individuals who may need assistance include older people living alone, those with physical or sensory disabilities, people with chronic illnesses or mental health conditions, single parents with young children, large families, and newcomers like tourists, refugees, or immigrants."
How can you identify neighbors who may need assistance?,"You can talk to your neighbors to identify those who may need assistance, but it's important to respect their privacy as some people value it."
What kind of special skills might some neighbors possess that could be valuable during emergencies?,"Some neighbors may have special skills, such as medical, technical, or trade skills, that can be valuable during emergencies."
What should you plan for regarding your neighborhood's response after a disaster?,"You should plan how the neighborhood could work together after a disaster, which includes organizing and coordinating efforts to help each other."
"What is a community working bee, and why is it useful?",A community working bee is a gathering where community members come together to help each other. It's useful as it's a great way to get to know your neighbors and build a sense of community.
Can you provide examples of ways in which you may be able to help your neighbors during emergencies?,"Examples of ways to help your neighbors include assisting those with sensory disabilities in staying informed about weather warnings, helping individuals unable to lift heavy objects, aiding those who need assistance preparing meals or contacting family during power outages, and assisting individuals in securing their property during storms."
What are some specific ways you can help your neighbors prepare for an emergency?,"You can help your neighbors by assisting them in preparing a household emergency plan, creating an emergency kit, developing an emergency plan for pets or assistance dogs, and identifying and obtaining the resources needed to cope effectively with an emergency."
In what ways can you assist your neighbors during a disaster?,"You can help your neighbors by moving furniture and valuables out of the way of floodwater, providing information about the situation, aiding in securing properties prior to cyclones or storms, offering a place to shelter during an emergency, and assisting with cleanup efforts after a disaster."
Why is sitting down with your neighbors and having a chat after an emergency beneficial?,"Sitting down with your neighbors for a chat after an emergency is beneficial because it allows you to share experiences, offer support, and foster a sense of community."
Why is it important to ensure your pet has access to plenty of food and fresh water during an emergency?,It's important to ensure your pet's basic needs are met to keep them healthy and safe during emergencies.
What should you provide for your pet in terms of shelter and bedding during an emergency?,You should ensure your pet has shelter and comfortable bedding to protect them from the elements.
Why is proper and easy identification of all animals under your care important?,Proper identification helps in reuniting lost or separated pets with their owners during or after an emergency.
What important telephone numbers should you include in your household emergency kit regarding your pets?,You should include telephone numbers for your veterinarian or animal welfare agency in your household emergency kit.
What should you never do with your pet during an emergency?,"You should never leave your pet tied-up or chained without shelter and bedding, and you should never leave your pet in a motor vehicle."
Who is the Pet Emergency Plan for?,The Pet Emergency Plan is for your household pets.
What should you do if you have more than two pets or are looking after your neighbors' pets?,"If you have more than two pets or are looking after your neighbors' pets, you should complete a second plan."
What should you check with your local council and other agencies regarding your pets?,"You should check on possible hazards, local emergency plans, and arrangements for temporary animal shelters during major emergencies or disasters."
Why may it not be possible to take your pet with you to a temporary evacuation shelter during an emergency?,"It may not be possible to take your pet with you to a temporary evacuation shelter due to safety and space limitations, so you should plan ahead."
Are trained assistance dogs usually allowed in emergency shelters with their owners?,"In most cases, trained assistance dogs are allowed in emergency shelters with their owners, but proper identification and proof of vaccination may be required."
What are some general tips to secure your pets inside before an emergency event?,"You should secure your pets inside to prevent them from running away. Using a secure pet carrier, cage, leash, or harness is recommended for transportation to safety."
What should you ensure remains current for your pets?,You should ensure that all vaccinations for your pets remain current to protect their health.
What is an option for your pet during an emergency to be boarded in a safe environment?,An option for your pet during an emergency is to be boarded in a safe environment away from the emergency zone.
What information should accompany your pet if they are housed in a temporary foster home?,"If you house your pet in a temporary foster home, ensure their medical and feeding information, food, medicine, and other supplies accompany them."
Why is proper identification of your pets important during times of disaster?,"Proper identification of your pets is important because during disasters, telephones may not be available, and it is crucial that any registered method includes your current address."
What can a current photograph of each pet be useful for during emergencies?,A current photograph of each pet can be useful for identification purposes and to prove your ownership during emergencies.
What essential items should be included in your pet emergency kit?,"Your pet emergency kit should include medications (for up to two weeks), medical and vaccination records, veterinarian details, sufficient food, a familiar pet blanket or bedding, toys, grooming equipment, a secure pet carrier, leash, or harness, sanitation supplies, and a current photograph of each pet."
"Why is it essential to have a secure pet carrier, leash, or harness in your pet emergency kit?","Having a secure pet carrier, leash, or harness in your pet emergency kit is important for transporting animals to safety during emergencies."
Why should you consider your pet's sanitation needs in your pet emergency kit?,Considering your pet's sanitation needs is essential for maintaining their health. It's also important for your own health and comfort during an emergency.
What should you include in a bird's emergency kit?,"For birds, you should include special food and water dispensers, and a cover for the cage in their emergency kit."
What kind of identification methods should be used for your pets in your pet emergency plan?,Identification methods for your pets should be registered and include your current address.
"What are some specialized agencies you can contact for emergency planning if your companion pets are not cats, dogs, or birds?","If your companion pets are not cats, dogs, or birds (e.g., aquarium fish, reptiles, small livestock), you may need to make special arrangements and can contact specialized agencies like Queensland Primary Industry and Fisheries (for livestock), the RSPCA, or your local pet shop or animal's veterinarian for advice."
What is the purpose of the emergency pantry list?,"The emergency pantry list outlines the food needed for 2 people for 7 days without the need for refrigeration, special preparation, or cooking during emergencies."
What should you do to adapt the pantry list for people with food allergies or specific dietary requirements?,You should adapt the pantry list to accommodate people with food allergies or specific dietary requirements by making suitable substitutions for the items mentioned.
What are some examples of grain foods listed in the pantry list?,"Examples of grain foods in the pantry list include breakfast cereals (dry), flatbreads, wholegrain crispbread/dry biscuits, and ready-to-eat rice or noodles."
How much breakfast cereal (dry) should you have in your emergency pantry for 2 people?,"You should have 850g of dry breakfast cereal, which is equivalent to 28 x 30g single-use bowls or boxes or other combinations mentioned."
"What are some examples of flatbreads (long life, vacuum packed) listed in the pantry list?","Examples of long life, vacuum-packed flatbreads in the pantry list include pita bread, lavash, tortillas, and wraps."
How much flatbread should you have in your emergency pantry for 2 people?,"You should have 1100g of flatbread, equivalent to 4 x 260g packs, or other combinations mentioned."
What are some examples of ready-to-eat rice or noodles in the pantry list?,Examples of ready-to-eat rice or noodles include those available in 250g packets.
How much ready-to-eat rice or noodles should you have in your emergency pantry for 2 people?,"You should have 1700g of ready-to-eat rice or noodles, which is equivalent to 8 x 250g packets."
What types of fruit are listed in the pantry list under the 'Fruit' category?,"The pantry list includes canned fruit in natural juice (e.g., pineapple, peaches, fruit salad, plums, berries, apricots) and dried fruit (e.g., sultanas, apricots, mixed fruit)."
How much canned fruit in natural juice should you have in your emergency pantry for 2 people?,"You should have 2400g of canned fruit in natural juice, equivalent to 8 x 400/410/420g cans or other containers mentioned."
How much dried fruit should you have in your emergency pantry for 2 people?,"You should have 200g of dried fruit, which is equivalent to 1 x 210g packet."
What is listed under 'Fruit juice (100% fruit juice)' in the pantry list?,The pantry list includes fruit juice (100% fruit juice) available in 250mL tetra packs.
How much fruit juice (100% fruit juice) should you have in your emergency pantry for 2 people?,"You should have 750mL of fruit juice, equivalent to 3 x 250mL tetra packs."
What types of vegetables are listed in the pantry list under the 'Vegetables' category?,"The pantry list includes starchy vegetables (e.g., canned potatoes), green vegetables (e.g., canned peas, beans, asparagus), and orange and other vegetables (e.g., canned beetroot, carrots, corn, tomatoes, mushrooms, capsicum, mixed vegetables)."
How much starchy vegetables should you have in your emergency pantry for 2 people?,"You should have 1050g of starchy vegetables, equivalent to 4 x 410g cans or other combinations mentioned."
How much green vegetables should you have in your emergency pantry for 2 people?,"You should have 1050g of green vegetables, equivalent to 7 x 220g cans or other combinations mentioned."
How much orange and other vegetables should you have in your emergency pantry for 2 people?,"You should have 3150g of orange and other vegetables, equivalent to 14 x 420g cans or other combinations mentioned."
What types of legumes and beans are listed in the pantry list under the 'Legumes and beans' category?,"The pantry list includes canned legumes (e.g., kidney beans, 4-bean mix, chickpeas, lentils) and baked beans."
How much canned legumes should you have in your emergency pantry for 2 people?,"You should have 1000g of canned legumes, equivalent to 4 x 410g cans or other combinations mentioned."
How much baked beans should you have in your emergency pantry for 2 people?,"You should have 750g of baked beans, equivalent to 4 x 220g cans."
How much nuts and/or seeds (unsalted) should you have in your emergency pantry for 2 people?,"You should have 450g of nuts and/or seeds (unsalted), equivalent to 3 x 150g packets."
"What types of milk, yoghurt, and cheese are listed in the pantry list?","The pantry list includes long-life milk or calcium-fortified soy milk and long-life cheese (e.g., cheese wedges or sticks)."
How much long-life milk or calcium-fortified soy milk should you have in your emergency pantry for 2 people?,"You should have 5000mL of long-life milk or calcium-fortified soy milk, equivalent to 20 x 250mL tetra packs."
How much long-life cheese should you have in your emergency pantry for 2 people?,"You should have 400g of long-life cheese, equivalent to 1 x 160g box or 1 x 240g packet."
What is listed under 'Long life custard' in the pantry list?,The pantry list includes long-life custard available in 4-pack custard cups.
How much long-life custard should you have in your emergency pantry for 2 people?,"You should have 800g of long-life custard, equivalent to 2 x 4-pack custard cups."
"What types of canned meat, poultry, fish, and alternatives are listed in the pantry list?","The pantry list includes canned meat and/or poultry or alternatives (e.g., braised steak, canned chicken, canned ham, nut meat) and canned fish (e.g., tuna, salmon, sardines)."
How much canned meat and/or poultry or alternatives should you have in your emergency pantry for 2 people?,"You should have 900g of canned meat and/or poultry or alternatives, equivalent to 12 x 85g cans (chicken) or other combinations mentioned."
How much canned fish should you have in your emergency pantry for 2 people?,"You should have 1600g of canned fish, equivalent to 8 x 185/210g cans."
What is listed under 'Unsaturated oil' in the pantry list?,"The pantry list includes unsaturated oil, e.g., olive oil, available in a 375mL bottle."
How much unsaturated oil should you have in your emergency pantry for 2 people?,"You should have 280g of unsaturated oil, equivalent to 1 x 375mL bottle."
Are snack foods listed as an essential item in the pantry list?,"Snack foods are listed as optional in the pantry list. Some examples of snack foods include dried fruits, nuts, seeds, crackers or biscuits, and muesli bars."
What is listed under 'Bottled water for drinking and food preparation' in the pantry list?,"The pantry list includes bottled water for drinking and food preparation, totaling 42 liters, which is equivalent to 21 x 2-liter bottles."
What equipment is included in the emergency pantry list?,"The equipment includes plastic plates, bowls, cups, cutlery, and utensils, as well as a can opener and hand sanitizer (water-free)."
How much hand sanitizer (water-free) should you have in your emergency pantry for 2 people?,"You should have 2 tubes/bottles of hand sanitizer (water-free), equivalent to 2 x 200mL bottles."
What are the nutritional needs of babies aged 0–6 months during an emergency?,Babies aged 0–6 months rely on breast milk. Offer breastfeeds more often during hot weather. Water or other drinks are not needed unless recommended by a doctor.
What are the nutritional needs of babies aged 6–12 months during an emergency?,"Babies aged 6–12 months need food and fluids in addition to breast milk. During hot weather, you can give small amounts of cooled boiled water after or in between breastmilk feeds."
What are the nutritional needs of babies over 12 months during an emergency?,"Babies over 12 months need solid foods and drinks, continue breastfeeding, or give full cream milk via a cup. During hot weather, give cooled boiled water after or in between meals."
What does the pantry list for breastfeeding during an emergency cover?,"The pantry list covers the food and equipment required for 1 baby if water and electricity have been interrupted for 3 days, based on the national infant feeding guidelines."
Why is it important to rely on breast milk for babies aged 0–6 months during an emergency?,"Breast milk is the primary source of nutrition for babies aged 0–6 months and provides essential nutrients and hydration. It is sufficient, and additional water or drinks are not needed unless advised by a doctor."
What should you do if you have a baby aged 0–6 months during an emergency and water and electricity are interrupted?,"If you have a baby aged 0–6 months during an emergency with interrupted water and electricity, continue to offer breastfeeds more frequently, especially in hot weather. Avoid giving water or other drinks unless recommended by a doctor."
When should you consider giving small amounts of cooled boiled water to a baby aged 6–12 months during an emergency?,"For babies aged 6–12 months during an emergency, you can consider giving small amounts of cooled boiled water after or in between breastmilk feeds, especially in hot weather."
What is the recommended approach for babies over 12 months during an emergency?,"For babies over 12 months during an emergency, they need solid foods and drinks. You can continue breastfeeding or give full cream milk via a cup. In hot weather, provide cooled boiled water after or in between meals."
How should you adapt the pantry list for babies with food intolerances and allergies?,You should adapt the pantry list for babies with food intolerances and allergies by selecting suitable food items that meet their specific dietary requirements.
What are some considerations for breastfeeding mothers during an emergency?,Breastfeeding mothers should stay well-hydrated and nourished. It's essential for mothers to take care of their own health to continue breastfeeding effectively during an emergency.
Why is breastfeeding particularly important during emergencies?,"Breastfeeding is crucial during emergencies because breast milk is a safe and readily available source of nutrition and hydration for infants. It does not require preparation, clean water, or electricity, making it ideal during disruptions."
How can breastfeeding mothers ensure they have enough milk supply during an emergency?,"To ensure an adequate milk supply during an emergency, breastfeeding mothers should continue breastfeeding on-demand and stay well-hydrated and nourished. Reducing stress and getting enough rest can also support milk production."
What should breastfeeding mothers do if they experience stress or anxiety during an emergency?,"Breastfeeding mothers should seek support from family, friends, or healthcare professionals if they experience stress or anxiety during an emergency. Reducing stress is essential for successful breastfeeding."
Are there any specific foods that breastfeeding mothers should include in their pantry during an emergency?,"Breastfeeding mothers should include nutritious and non-perishable foods in their pantry, such as whole grains, dried fruits, nuts, and foods high in protein. These foods can help maintain their energy and milk production."
How can breastfeeding mothers ensure their own safety and well-being during an emergency?,"Breastfeeding mothers should prioritize their safety and well-being by following emergency guidelines, staying informed, and having an emergency plan in place. Having support from family and friends is also crucial."
What role does community support play in assisting breastfeeding mothers during emergencies?,"Community support is vital in assisting breastfeeding mothers during emergencies. Communities can provide resources, information, and support networks to help mothers continue breastfeeding even in challenging situations."
Why can accessing medicine during a disaster be challenging?,"Natural disasters can disrupt access to medicines due to various factors, including damage to infrastructure, transportation issues, and supply chain disruptions."
What should you do if you need to take medicine with food or water during a disaster?,"During a disaster, ensure you use safe drinking water and follow food safety guidelines if your medication requires food or water for administration."
Is a prescription required to obtain Pharmaceutical Benefit Scheme (PBS) medicines in an emergency?,"In an emergency, you can obtain PBS medicines without a prescription. Your usual pharmacy may provide a three-day supply without a prescription or contact your doctor for a verbal prescription. Co-payments may apply."
Do the co-payments for PBS medicines during an emergency count towards the PBS Safety Net?,The co-payments for PBS medicines during an emergency supply do not count towards the PBS Safety Net.
What should you do if you can't reach your usual pharmacy during a disaster?,"If you can't reach your usual pharmacy, try visiting another community pharmacy if it is safe. In some cases, your GP's prescriptions can be filled by Queensland Health public hospital pharmacies, but they may not stock the full range of medicines."
How can you access medicines if you can't get to your usual pharmacy?,"In an emergency, you may be able to negotiate a credit arrangement with a pharmacy or public hospital pharmacy if you can't access your money. They may dispense medicines without collecting co-payments immediately."
What should you do if you don't have your Medicare or concession card during a disaster?,Your pharmacy or public hospital can contact Medicare to confirm your eligibility to receive PBS medicines and apply the concessional patient co-payment rate even if you don't have your card. You'll still need to pay co-payments.
Can you replace lost medicine without a prescription during a disaster?,"If you've lost your medicine but still have your prescription, your pharmacy can dispense a new supply in an emergency, even if the prescription was last filled less than 20 days ago. Co-payments don't count towards the PBS Safety Net."
What can be done if your medication requires special authority and you need a replacement during a disaster?,"If your medication requires special authority, your doctor can call Medicare for authority to issue another prescription, allowing the pharmacist to dispense the medicine again, even if it's 'too soon.' Co-payments may apply."
Who should you contact for urgent assistance with obtaining medicine during a disaster?,"For urgent assistance with obtaining medicine during a disaster, contact the State Emergency Services (SES) at 132 500 to arrange evacuation or alternative supply options."
What is the Pharmaceutical Benefit Scheme (PBS)?,The PBS is a government program that provides affordable access to necessary prescription medicines for Australian residents. It aims to reduce the cost of prescription medications for individuals.
What is a concessional patient co-payment rate for medicines?,"A concessional patient co-payment rate is a reduced fee for prescription medicines available to individuals with a valid concession card, such as a healthcare or pension card."
How can you access your Medicare or concession card details during an emergency if you don't have the physical card?,Your pharmacy or public hospital can contact Medicare to retrieve your card details by phone. This allows you to benefit from concessional patient co-payment rates.
Why is it important to have access to medicines during a disaster?,"Access to necessary medicines is crucial during a disaster, as individuals may rely on these medications to manage chronic conditions or respond to acute health needs."
What should you do if you need to evacuate during a disaster and require medication?,"If you need to evacuate during a disaster and require medication, contact the State Emergency Services (SES) at 132 500 to arrange for evacuation and discuss your medication needs."
What are the common elements produced by cyclones and severe storms?,"Cyclones and severe storms can produce hail, flooding rains, lightning, winds greater than 200km/h, and storm surge."
"When is storm season in your region, and why is it important to stay informed during this time?",Storm season typically occurs from November to April. It's crucial to stay informed during this time to protect your family and property from potential severe weather events.
